_ObjectName_,createTime,createdBy,guid,status,typeName,updateTime,updatedBy,version,attributes.abbreviation,attributes.examples,attributes.longDescription,attributes.name,attributes.qualifiedName,attributes.shortDescription,attributes.usage,relationshipAttributes.anchor.displayText,relationshipAttributes.anchor.guid,relationshipAttributes.anchor.relationshipGuid,relationshipAttributes.anchor.relationshipStatus,relationshipAttributes.anchor.typeName,relationshipAttributes.anchor.relationshipAttributes.typeName
entity,1524346151058,admin,e99bbff4-1a01-430d-8da3-e214217b59fe,ACTIVE,AtlasGlossaryTerm,1524346151058,admin,0,null,null,"Sometimes referred to as a ""turbosupercharger."" A device that uses an exhaust-driven turbine to force air into an internal-combustion engine in order to increase engine power.",Turbocharger,Turbocharger@Automotive,"Sometimes referred to as a ""turbosupercharger."" A device that uses an exhaust-driven turbine to force air into an internal-combustion engine in order to increase engine power.",null,Automotive,0b8176c3-e288-45bb-9388-c77fe48c5604,91b4ee70-5d06-46f8-b88f-4739820e046f,ACTIVE,AtlasGlossary,AtlasGlossaryTermAnchor
referredEntities,,,,,,,,,,,,,,,,,,,,,
﻿_ObjectName_,createTime,createdBy,guid,status,typeName,updateTime,updatedBy,version,attributes.language,attributes.longDescription,attributes.name,attributes.qualifiedName,attributes.shortDescription,attributes.usage,relationshipAttributes.terms.0.displayText,relationshipAttributes.terms.0.guid,relationshipAttributes.terms.0.relationshipGuid,relationshipAttributes.terms.0.relationshipStatus,relationshipAttributes.terms.0.typeName,relationshipAttributes.terms.0.relationshipAttributes.typeName,relationshipAttributes.terms.1.displayText,relationshipAttributes.terms.1.guid,relationshipAttributes.terms.1.relationshipGuid,relationshipAttributes.terms.1.relationshipStatus,relationshipAttributes.terms.1.typeName,relationshipAttributes.terms.1.relationshipAttributes.typeName,relationshipAttributes.terms.2.displayText,relationshipAttributes.terms.2.guid,relationshipAttributes.terms.2.relationshipGuid,relationshipAttributes.terms.2.relationshipStatus,relationshipAttributes.terms.2.typeName,relationshipAttributes.terms.2.relationshipAttributes.typeName,relationshipAttributes.terms.3.displayText,relationshipAttributes.terms.3.guid,relationshipAttributes.terms.3.relationshipGuid,relationshipAttributes.terms.3.relationshipStatus,relationshipAttributes.terms.3.typeName,relationshipAttributes.terms.3.relationshipAttributes.typeName,relationshipAttributes.terms.4.displayText,relationshipAttributes.terms.4.guid,relationshipAttributes.terms.4.relationshipGuid,relationshipAttributes.terms.4.relationshipStatus,relationshipAttributes.terms.4.typeName,relationshipAttributes.terms.4.relationshipAttributes.typeName,relationshipAttributes.terms.5.displayText,relationshipAttributes.terms.5.guid,relationshipAttributes.terms.5.relationshipGuid,relationshipAttributes.terms.5.relationshipStatus,relationshipAttributes.terms.5.typeName,relationshipAttributes.terms.5.relationshipAttributes.typeName,relationshipAttributes.terms.6.displayText,relationshipAttributes.terms.6.guid,relationshipAttributes.terms.6.relationshipGuid,relationshipAttributes.terms.6.relationshipStatus,relationshipAttributes.terms.6.typeName,relationshipAttributes.terms.6.relationshipAttributes.typeName,relationshipAttributes.terms.7.displayText,relationshipAttributes.terms.7.guid,relationshipAttributes.terms.7.relationshipGuid,relationshipAttributes.terms.7.relationshipStatus,relationshipAttributes.terms.7.typeName,relationshipAttributes.terms.7.relationshipAttributes.typeName,relationshipAttributes.terms.8.displayText,relationshipAttributes.terms.8.guid,relationshipAttributes.terms.8.relationshipGuid,relationshipAttributes.terms.8.relationshipStatus,relationshipAttributes.terms.8.typeName,relationshipAttributes.terms.8.relationshipAttributes.typeName,relationshipAttributes.terms.9.displayText,relationshipAttributes.terms.9.guid,relationshipAttributes.terms.9.relationshipGuid,relationshipAttributes.terms.9.relationshipStatus,relationshipAttributes.terms.9.typeName,relationshipAttributes.terms.9.relationshipAttributes.typeName,relationshipAttributes.terms.10.displayText,relationshipAttributes.terms.10.guid,relationshipAttributes.terms.10.relationshipGuid,relationshipAttributes.terms.10.relationshipStatus,relationshipAttributes.terms.10.typeName,relationshipAttributes.terms.10.relationshipAttributes.typeName,relationshipAttributes.terms.11.displayText,relationshipAttributes.terms.11.guid,relationshipAttributes.terms.11.relationshipGuid,relationshipAttributes.terms.11.relationshipStatus,relationshipAttributes.terms.11.typeName,relationshipAttributes.terms.11.relationshipAttributes.typeName,relationshipAttributes.terms.12.displayText,relationshipAttributes.terms.12.guid,relationshipAttributes.terms.12.relationshipGuid,relationshipAttributes.terms.12.relationshipStatus,relationshipAttributes.terms.12.typeName,relationshipAttributes.terms.12.relationshipAttributes.typeName,relationshipAttributes.terms.13.displayText,relationshipAttributes.terms.13.guid,relationshipAttributes.terms.13.relationshipGuid,relationshipAttributes.terms.13.relationshipStatus,relationshipAttributes.terms.13.typeName,relationshipAttributes.terms.13.relationshipAttributes.typeName,relationshipAttributes.terms.14.displayText,relationshipAttributes.terms.14.guid,relationshipAttributes.terms.14.relationshipGuid,relationshipAttributes.terms.14.relationshipStatus,relationshipAttributes.terms.14.typeName,relationshipAttributes.terms.14.relationshipAttributes.typeName,relationshipAttributes.terms.15.displayText,relationshipAttributes.terms.15.guid,relationshipAttributes.terms.15.relationshipGuid,relationshipAttributes.terms.15.relationshipStatus,relationshipAttributes.terms.15.typeName,relationshipAttributes.terms.15.relationshipAttributes.typeName,relationshipAttributes.terms.16.displayText,relationshipAttributes.terms.16.guid,relationshipAttributes.terms.16.relationshipGuid,relationshipAttributes.terms.16.relationshipStatus,relationshipAttributes.terms.16.typeName,relationshipAttributes.terms.16.relationshipAttributes.typeName,relationshipAttributes.terms.17.displayText,relationshipAttributes.terms.17.guid,relationshipAttributes.terms.17.relationshipGuid,relationshipAttributes.terms.17.relationshipStatus,relationshipAttributes.terms.17.typeName,relationshipAttributes.terms.17.relationshipAttributes.typeName
entity,1524345588390,admin,e74875de-736b-42e2-9283-f697579d742c,ACTIVE,AtlasGlossary,1524346396933,admin,0,null,Glossary for Insurance domain.  References: http://naic.org/consumer_glossary.htm,Insurance,Insurance,Glossary for Insurance domain,null,Term Insurance,8fe646f7-4d20-4f6a-87fa-d784773490b2,dc6ff179-ca54-407c-8394-191974039bdc,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Actual Cash Value,f9b60c8f-aaaf-4dd1-982e-0d2762fad0ce,94b7f059-f6ec-4afd-be1d-c1ef6562a523,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Claim,fc5c4f64-0822-4de5-94f0-1991c344d4f7,3da60373-0149-48cc-8eb2-f1edacee9a2e,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Agent,4b07abbc-3039-4382-a16c-257d2446e497,150cc592-d145-4bac-9123-937860199d0e,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Pure Risk,917898a3-cd3b-470b-8ad3-906ddc6e4dc3,7f278a44-b7d1-4e4c-a249-138ffcc45858,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Annuity,19bba79e-3176-40ff-9d3a-cec7c793ae01,ace1e168-77ba-43ad-b1c9-82d1fff99e59,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Broker,7674314c-70eb-4b5c-85a7-908e788dc76f,76a01237-837d-49ff-8df0-642a2ba4c2c1,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Variable Annuity,563ced7e-388b-440d-83ca-4897463e6202,f17fd732-6856-4d09-90ac-92e8663f6d21,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Whole Life Insurance,c1fa6acc-43b5-4856-8339-c0ea2bc6dcc3,6648cbf2-844a-4e22-a751-f0f6a7d13810,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Adjuster,b6654a01-70e5-4da5-a3a9-fb6686017a19,5600c335-045f-41e4-9da5-bda14974fba5,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Appraisal,9c15b4de-ac96-4d06-ad01-bde9675966b2,5dd6df11-b3c3-4779-9323-88e4b0e2f743,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Morbidity Risk,7706f250-93a0-45bb-895f-b3a86ac70420,cb071e3f-fc7f-4d08-8659-7731db626aea,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Assessed Value,4f2c938f-e0e0-4364-bd93-9a63a80aa510,f1f6ea30-c13f-459e-9f8e-b17b46afef31,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Book Value,f6a9a7c2-c059-40dd-8f8c-7f023c488be5,f11ff7fe-e6c8-4c7d-8784-6584ce5a9e12,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Risk,5bb8e445-2f04-4a98-91c6-1a2249659472,66f22a55-9424-4d40-9221-1db14e0d53dd,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Unpaid Losses,a5e4614e-51a8-4f06-af79-d7213296bc2e,19e01f5b-d7c0-4f1b-a618-c00d27d82a7c,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Standard Risk,a5a0642c-105a-480d-b75d-73dc36d74802,0f3c775f-691b-4153-b825-94415db3b4fe,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor,Underwriter,9a897d88-c978-4ef8-b2d5-9a62195ac494,17d4e241-fa19-40f9-aa50-4b19f58df8ef,ACTIVE,AtlasGlossaryTerm,AtlasGlossaryTermAnchor
referredEntities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
﻿_ObjectName_,createTime,createdBy,guid,status,typeName,updateTime,updatedBy,version,attributes.abbreviation,attributes.examples,attributes.longDescription,attributes.name,attributes.qualifiedName,attributes.shortDescription,attributes.usage,relationshipAttributes.anchor.displayText,relationshipAttributes.anchor.guid,relationshipAttributes.anchor.relationshipGuid,relationshipAttributes.anchor.relationshipStatus,relationshipAttributes.anchor.typeName,relationshipAttributes.anchor.relationshipAttributes.typeName
entity,1524347229672,admin,1c39578f-9971-4679-afbf-fb2ff3f37414,ACTIVE,AtlasGlossaryTerm,1524347229672,admin,0,null,null,A simple definition of a security is any proof of ownership or debt that has been assigned a value and may be sold.,Securities,Securities@Finance,A simple definition of a security is any proof of ownership or debt that has been assigned a value and may be sold.,null,Finance,08fd5250-6bc1-4373-aa73-a50182b68d76,86cd726d-0423-4dd7-b4d2-868dcd10b2d5,ACTIVE,AtlasGlossary,AtlasGlossaryTermAnchor
referredEntities,,,,,,,,,,,,,,,,,,,,,
﻿_ObjectName_,createTime,createdBy,guid,status,typeName,updateTime,updatedBy,version,attributes.abbreviation,attributes.examples,attributes.longDescription,attributes.name,attributes.qualifiedName,attributes.shortDescription,attributes.usage,relationshipAttributes.anchor.displayText,relationshipAttributes.anchor.guid,relationshipAttributes.anchor.relationshipGuid,relationshipAttributes.anchor.relationshipStatus,relationshipAttributes.anchor.typeName,relationshipAttributes.anchor.relationshipAttributes.typeName
